data,numObitosCausaNatural,numObitosCausaNaoNatural,numObitosSujeitoInvestigacao,numAcidenteTrabalho,numAcidenteTransito,numEventualSuicidio,numEventualHomicidio,numOutrosAcidentes,numIgnorado
2016-01-11,319,2,19,0,1,0,0,1,0
2016-01-10,302,2,15,0,1,0,0,0,1
2016-01-09,326,8,11,0,6,0,0,2,0
2016-01-08,335,4,26,1,0,1,1,1,0
2016-01-07,288,6,10,1,1,3,0,1,0
2016-01-06,301,6,14,0,1,3,1,0,1
2016-01-05,308,4,20,0,0,2,0,2,0
2016-01-04,336,4,12,0,2,2,0,0,0
2016-01-03,317,2,20,0,0,2,0,0,0
2016-01-02,287,6,20,0,0,3,0,3,0
2016-01-01,344,9,12,0,4,3,1,0,1
2015-12-31,293,6,20,0,1,1,0,4,0
2015-12-30,313,5,14,0,0,3,0,2,0
2015-12-29,284,8,15,0,2,4,0,1,1
2015-12-28,327,10,26,0,1,2,3,4,0
2015-12-27,309,3,13,0,0,2,0,1,0
2015-12-26,285,5,16,0,1,1,0,2,1
2015-12-25,307,6,20,0,1,3,1,1,0
2015-12-24,245,3,17,1,2,0,0,0,0
2015-12-23,259,5,11,0,2,0,0,2,1
2015-12-22,276,3,16,0,0,1,0,1,1
2015-12-21,280,7,14,0,2,2,0,3,0
2015-12-20,282,5,15,0,2,1,0,2,0
2015-12-19,294,5,15,0,1,3,0,1,0
2015-12-18,298,4,18,0,3,0,0,1,0
2015-12-17,270,5,7,0,1,2,0,2,0
2015-12-16,280,5,21,0,2,1,0,2,0
2015-12-15,299,3,17,0,1,1,0,1,0
2015-12-14,275,4,12,1,1,1,0,1,0
2015-12-13,269,6,12,0,1,1,0,3,1
2015-12-12,278,2,14,0,0,0,0,2,0
2015-12-11,243,7,11,1,1,3,0,0,2
2015-12-10,274,1,14,0,1,0,0,0,0
2015-12-09,274,3,15,0,0,0,0,2,1
2015-12-08,276,5,9,0,0,3,0,2,0
2015-12-07,270,9,18,1,3,2,0,2,1
2015-12-06,266,6,15,0,1,0,1,3,1
2015-12-05,257,4,15,0,2,0,0,1,1
2015-12-04,277,4,10,0,0,2,1,1,0
2015-12-03,274,6,17,0,1,1,0,3,1
2015-12-02,294,8,14,1,2,5,0,0,0
2015-12-01,286,6,9,1,0,0,0,5,0
2015-11-30,308,2,19,0,0,1,0,1,0
2015-11-29,282,3,7,0,2,0,0,0,1
2015-11-28,254,4,17,0,2,0,0,2,0
2015-11-27,295,6,12,0,2,2,0,2,0
2015-11-26,293,10,19,0,2,2,0,6,0
2015-11-25,279,6,9,1,2,2,0,1,0
2015-11-24,255,7,13,1,3,2,0,1,0
2015-11-23,249,8,21,0,1,3,1,3,0
2015-11-22,230,4,18,0,0,2,0,1,1
2015-11-21,247,5,10,0,5,0,0,0,0
2015-11-20,286,5,13,0,1,2,0,1,1
2015-11-19,257,4,17,1,0,1,0,2,0
2015-11-18,263,7,17,1,1,3,0,2,0
2015-11-17,254,9,17,0,2,3,2,2,0
2015-11-16,243,3,11,0,1,1,0,0,1
2015-11-15,248,3,8,0,2,0,0,0,1
2015-11-14,261,1,14,0,1,0,0,0,0
2015-11-13,224,5,11,0,0,2,0,1,2
2015-11-12,245,7,13,0,1,1,0,2,3
2015-11-11,259,8,14,2,1,1,0,3,1
2015-11-10,258,4,20,0,2,2,0,0,0
2015-11-09,246,6,10,1,1,2,0,1,1
2015-11-08,264,4,8,0,4,0,0,0,0
2015-11-07,271,4,16,0,1,2,0,1,0
2015-11-06,278,5,14,0,3,2,0,0,0
2015-11-05,253,6,16,1,1,2,0,1,1
2015-11-04,257,7,8,0,3,2,0,2,0
2015-11-03,249,6,9,0,1,1,0,4,0
2015-11-02,272,7,18,0,1,2,0,3,1
2015-11-01,240,5,18,0,2,2,0,1,0
